logic_name	db	db_version	db_file	program	program_version	program_file	parameters	module	module_version	created	gff_source	gff_feature	description	display_label	displayable	web_data
VendorMap	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Original mapping provided by Array Vendor	Vendor mapping	1	NULL
RawValue	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Raw value	Raw value	1	NULL
VSN_GLOG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Generalised log transformation based on VSN variance stabilised scores	VSN_GLOG	1	NULL
LiftOver	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Remapping to new assembly performed by LiftOver	LiftOver	1	NULL
Nessie	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Hidden Markov Model based predictions based on tiling array data	Nessie (TilingHMM)	1	NULL
SangerPCR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Ratio generated by standard Sanger PCR array processing	SangerPCR	1	NULL
Nessie_NG_STD_2	NULL	NULL	NULL	nessie	0.13	nessie	 --distribution="weibull" --fit-method="slope"  --replicates=2  --onestep="/nfs/acari/graef/bin/train_state.para"	Nessie	NULL	2007-05-30 15:14:33	NULL	NULL	NULL	NULL	NULL	NULL
Parzen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Solexa clusters	Parzen	1	NULL
Wiggle	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Solexa clusters from wiggle data	Parzen	1	NULL
HitList	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Custom hit list	HitList	1	NULL
Regulatory_Build	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	'reg_feats' => 'Features from <a href="/info/genome/funcgen/index.html" class="cp-external">Ensembl Regulatory Build</a>.', 'core' => 'Sites enriched for marks of open chromatin (e.g. Dnase1) or transcription factor binding sites.  Used to define the Regulatory Feature core regions in the <a href="http://www.ensembl.org/info/docs/funcgen/index.html" class="cp-external">Ensembl Regulatory Build</a>.', 'other' => 'Sites enriched for histone modifications or polymerase binding.  Used to define Regulatory Feature bound regions in the <a href="http://www.ensembl.org/info/docs/funcgen/index.html" class="cp-external">Ensembl Regulatory Build</a>.'}	Regulatory Build	1	NULL
eQTL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	NULL	NULL	NULL	NULL
T.Biweight	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Weighted mean standardisation using the one step Tukey Biweight algorithm	Tukey Biweight	1	NULL
SupervisedHMM	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Supervised Hidden Markov Model	SupervisedHMM	1	NULL
WindowInterval	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Window Interval	WindowInterval	1	NULL
DEFAULT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0000-00-00 00:00:00	NULL	NULL	Default analysis	1	NULL
Manual Antibody-Gene Annotation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Manual Annotation	Manual Annotation	1	NULL
Jaspar	jaspar.genereg.net	JASPAR_2010	all_data/matrix_only/matrix_only.txt	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Import from Jaspar	Jaspar	1	NULL
bwa_samse	NULL	NULL	NULL	bwa	NULL	bwa	NULL	NULL	NULL	NULL	NULL	NULL	BWA single read alignment	BWA	1	NULL
SWEMBL_R0025	NULL	NULL	NULL	SWEMBL	3.3	SWEmbl	-f 150 -R 0.0025	NULL	NULL	NULL	NULL	NULL	SWEMBL Peak Caller	SWEMBL	1	NULL
SWEMBL_R015	NULL	NULL	NULL	SWEMBL	3.3	SWEmbl	-f 150 -R  0.015	NULL	NULL	NULL	NULL	NULL	SWEMBL Peak Caller	SWEMBL	1	NULL
CCAT_HISTONE	NULL	NULL	NULL	CCAT	3.0	CCAT	config_histone.txt	NULL	NULL	NULL	NULL	NULL	CCAT Peak Caller	CCAT	1	NULL
MACS	NULL	NULL	NULL	MACS	1.4.2	macs14	NULL	NULL	NULL	NULL	NULL	NULL	MACS Peak Caller	MACS	1	NULL

# The logic_name field should not contain any spaces (use underscores or cat words)
# as this will most likely cause the webcode to break.
# Any to logic_name in here may also required changes in the webcode (especially modules/EnsEMBL/Web/ImageConfig.pm)
# Best to grep ensembl-webcode/draw and public-plugins before notifying web of changes.

#This file is for import analyses only
#Pipeline analyses should be loaded from pipeline(i.e. arrays or peaks)
#ExternalFeature analyses must be loaded by the relevant import parser
