name	class	description
AP1	Transcription Factor Complex	AP1 Binding
Ap2alpha	Transcription Factor	Ap2alpha Transcription Factor Binding
Ap2gamma	Transcription Factor	Ap2gamma Transcription Factor Binding
ATF3	Transcription Factor	ATF3 Transcription Factor Binding
BAF155	Transcription Factor	BAF155 Transcription Factor Binding
BAF170	Transcription Factor	BAF170 Transcription Factor Binding
BATF	Transcription Factor	BATF Transcription Factor Binding
BCLAF1	Transcription Factor	BCLAF1 Transcription Factor Binding
BCL11A	Transcription Factor	BCL11A Transcription Factor Binding
BCL3	Transcription Factor	BCL3 Transcription Factor Binding
Bdp1	Transcription Factor	Bdp1 Transcription Factor Binding
BHLHE40	Transcription Factor	BHLHE40 Transcription Factor Binding
Brf1	Transcription Factor	Brf1 Transcription Factor Binding
Brf2	Transcription Factor	Brf2 Transcription Factor Binding
Brg1	Transcription Factor	Brg1 Transcription Factor Binding
CBP	Transcription Factor	CBP Transcription Factor Binding
CEBP	Transcription Factor	CEBP Transcription Factor Binding
CEBPB	Transcription Factor	CEBPB Transcription Factor Binding
Cfos	Transcription Factor	Cfos Transcription Factor Binding
Cjun	Transcription Factor	Cjun Transcription Factor Binding
Cmyc	Transcription Factor	Cmyc Transcription Factor Binding
cMyb	Transcription Factor	cMyb Transcription Factor Binding
CTCF	Transcription Factor	CCCTC-binding factor
CTCFL	Transcription Factor	CTCFL Transcription Factor Binding
DNase1	Open Chromatin	DNase1 Hypersensitive Site
E2F1	Transcription Factor	E2F1 Transcription Factor Binding
E2F1HA	Transcription Factor	E2F1HA Transcription Factor Binding
E2F4	Transcription Factor	E2F4 Transcription Factor Binding
E2F6	Transcription Factor	E2F6 Transcription Factor Binding
EBF	Transcription Factor	EBF Transcription Factor Binding
Egr1	Transcription Factor	Egr1 Transcription Factor Binding
ELF1	Transcription Factor	ELF1 Transcription Factor Binding
ERRA	Transcription Factor	ERRA Transcription Factor Binding
Esrrb	Transcription Factor	Esrrb Transcription Factor Binding
ETS1	Transcription Factor	ETS1 Transcription Factor Binding
FAIRE	Open Chromatin	Formaldehyde-Assisted Isolation of Regulatory Elements
FOSL1	Transcription Factor	FOSL1 Transcription Factor Binding
FOSL2	Transcription Factor	FOSL2 Transcription Factor Binding
FOXA1	Transcription Factor	FOXA1 Transcription Factor Binding
FOXA2	Transcription Factor	FOXA2 Transcription Factor Binding
FOXP2	Transcription Factor	FOXP2 Transcription Factor Binding
Gabp	Transcription Factor	Gabp Transcription Factor Binding
Gata1	Transcription Factor	Gata1 Transcription Factor Binding
Gata2	Transcription Factor	Gata2 Transcription Factor Binding
Gene Associated	Regulatory Feature	Gene like regulatory feature
GFP	DNA	GFP Control
Goat-IgG	DNA	Control
GRp20	Transcription Factor	GRp20 Transcription Factor Binding
GTF2B	Transcription Factor	Jund Transcription Factor Binding
H2AK5ac	Histone	Histone 2A Lysine 5 Acetylation
H2AK9ac	Histone	Histone 2A Lysine 9 Acetylation
H2AZ	Histone	Histone 2A variant Z
H2BK120ac	Histone	Histone 2B Lysine 120 Acetylation
H2BK12ac	Histone	Histone 2B Lysine 12 Acetylation
H2BK15ac	Histone	Histone 2B Lysine 15 Acetylation
H2BK20ac	Histone	Histone 2B Lysine 20 Acetylation
H2BK5ac	Histone	Histone 2B Lysine 5 Acetylation
H2BK5me1	Histone	Histone 2B Lysine 5 mono-methylation
H3ac	Histone	Histone 3 Acetylation
H3	Histone	Histone 3
H3K14ac	Histone	Histone 3 Lysine 14 Acetylation
H3K18ac	Histone	Histone 3 Lysine 18 Acetylation
H3K23ac	Histone	Histone 3 Lysine 23 Acetylation
H3K23me2	Histone	Histone 3 Lysine 23 di-methylation
H3K27ac	Histone	Histone 3 Lysine 27 Acetylation
H3K27me1	Histone	Histone 3 Lysine 27 mono-methylation
H3K27me2	Histone	Histone 3 Lysine 27 di-methylation
H3K27me3	Histone	Histone 3 Lysine 27 Tri-Methylation
H3K36ac	Histone	Histone 3 Lysine 36 Acetylation
H3K36me1	Histone	Histone 3 Lysine 36 mono-methylation
H3K36me3	Histone	Histone 3 Lysine 36 Tri-Methylation
H3K4ac	Histone	Histone 3 Lysine 4 Acetylation
H3K4me1	Histone	Histone 3 Lysine 4 Mono-Methylation
H3K4me2	Histone	Histone 3 Lysine 4 Di-Methylation
H3K4me3	Histone	Histone 3 Lysine 4 Tri-Methylation
H3K56ac	Histone	Histone 3 Lysine 56 Acetylation
H3K79me1	Histone	Histone 3 Lysine 79 mono-methylation
H3K79me2	Histone	Histone 3 Lysine 79 di-methylation
H3K79me3	Histone	Histone 3 Lysine 79 Tri-Methylation
H3K9ac	Histone	Histone 3 Lysine 9 Acetylation
H3K9me1	Histone	Histone 3 Lysine 9 mono-methylation
H3K9me2	Histone	Histone 3 Lysine 9 di-methylation
H3K9me3	Histone	Histone 3 Lysine 9 Tri-Methylation
H3R2me1	Histone	Histone 3 Arginine 2 mono-methylation
H3R2me2	Histone	Histone 3 Arginine 2 di-methylation
H4ac	Histone	Histone 4 Acetylation
H4K12ac	Histone	Histone 4 Lysine 12 Acetylation
H4K16ac	Histone	Histone 4 Lysine 16 Acetylation
H4K20me1	Histone	Histone 4 Lysine 20 mono-methylation
H4K20me3	Histone	Histone 4 Lysine 20 Tri-Methylation
H4K4me3	Histone	Histone 4 Lysine 4 Tri-Methylation
H4K5ac	Histone	Histone 4 Lysine 5 Acetylation
H4K8ac	Histone	Histone 4 Lysine 8 Acetylation
H4K91ac	Histone	Histone 4 Lysine 91 Acetylation
H4R3me2	Histone	Histone 4 Arginine 3 di-methylation
HA-F2F1	Transcription Factor	HA-F2F1 Transcription Factor Binding
HDAC8	Transcription Factor	HDAC8 Transcription Factor Binding
HDAC6	Transcription Factor	HDAC6 Transcription Factor Binding
HDAC3	Transcription Factor	HDAC3 Transcription Factor Binding
HDAC2	Transcription Factor	HDAC2 Transcription Factor Binding
HDAC1	Transcription Factor	HDAC1 Transcription Factor Binding
HEY1	Transcription Factor	HEY1 Transcription Factor Binding
