feature_type_name	ENSEMBL_GENE_stable_id	release
Ap2alpha	ENSG00000137203	58_37c
Ap2gamma	ENSG00000087510	58_37c
Bdp1	ENSG00000145734	58_37c
Brf1	ENSG00000185024	58_37c
Cfos	ENSG00000170345	58_37c
Cjun	ENSG00000177606	58_37c
Cmyc	ENSG00000136997	58_37c
CTCF	ENSG00000102974	58_37c
E2F1	ENSG00000101412	58_37c
E2F4	ENSG00000205250	58_37c
E2F6	ENSG00000169016	58_37c
Gabp	ENSG00000154727	58_37c
Gata1	ENSG00000102145	58_37c
Gata2	ENSG00000179348	58_37c
Jund	ENSG00000130522	58_37c
Max	ENSG00000130522	58_37c
Nfe2	ENSG00000123405	58_37c
Nfya	ENSG00000001167	58_37c
Nfyb	ENSG00000120837	58_37c
Nrsf	ENSG00000084093	58_37c
p300	ENSG00000100393	58_37c
Rad21	ENSG00000164754	58_37c
SETDB1	ENSG00000143379	58_37c
Sirt6	ENSG00000077463	58_37c
SRebp1	ENSG00000072310	58_37c
SRebp2	ENSG00000198911	58_37c
Srf	ENSG00000084093	58_37c
Suz12	ENSG00000178691	58_37c
Tcf4	ENSG00000196628	58_37c
Tr4	ENSG00000177463	58_37c
Xrrc4	ENSG00000152422	58_37c
Yy1	ENSG00000100811	58_37c
Znf263	ENSG00000006194	58_37c
