name	display_label	description	gender	
MEF	NULL	Mouse Embryonic Fibroblasts	NULL	
ES	NULL	Mouse Embryonic Stem Cells	NULL
ESHyb	NULL	Mouse Embryonic Stem Cells (hybrid)	NULL	
NPC	NULL	Mouse Neural Progenitor Cells	NULL
MCV6	NULL	MCV6 Mouse B Lymphocyte Cells (partially reprogrammed)	NULL
MCV8	NULL	MCV8 Mouse B Lymphocyte Cells (partially reprogrammed)	NULL
MCV81	NULL	MCV81 Mouse B Lymphocyte Cells (partially reprogrammed)	NULL
BIV1	NULL	BIV1 Mouse B Lymphocyte Cells (partially reprogrammed)	NULL
MultiCell	NULL	Multiple CellTypes used in core RegulatoryFeature set	NULL
MEL	NULL	Mouse Erythroleukemia	male
