feature_type_name	ENSEMBL_GENE_stable_id	release
Cmyc	ENSMUSG00000022346	58_37k
CTCF	ENSMUSG00000005698	58_37k
E2F1	ENSMUSG00000027490	58_37k
Esrrb	ENSMUSG00000021255	58_37k
Klf4	ENSMUSG00000003032	58_37k
Nanog	ENSMUSG00000012396	58_37k
nMyc	ENSMUSG00000037169	58_37k
Oct4	ENSMUSG00000012396	58_37k
p300	ENSMUSG00000055024	58_37k
Smad1	ENSMUSG00000031681	58_37k
Sox2	ENSMUSG00000074637	58_37k
STAT3	ENSMUSG00000004040	58_37k
Suz12	ENSMUSG00000017548	58_37k
Tcfcp2l1	ENSMUSG00000026380	58_37k
Zfx	ENSMUSG00000079509	58_37k
