2018-10-18 07:46:37.731464	https://www.encodeproject.org/report/?type=ReferenceEpigenome&field=accession&field=biosample_term_name&field=related_datasets.assay_term_name&field=description&field=award.project&field=status&field=related_datasets.replicates.library.biosample.organism.scientific_name&field=dbxrefs&field=assay_term_id&field=biosample_type&field=assay_synonyms&field=biosample_term_id&field=biosample_synonyms&limit=all
Accession	Biosample term	Assay Type	Description	Project	Status	Species	External identifiers	Assay term id	Biosample type	Assay synonyms	Biosample term id	Biosample synonyms
ENCSR134DWG	HepG2	ChIP-seq,DNase-seq,RRBS,RNA-seq	REMC Epigenome (ENCODE) for Hepatocellular Carcinoma Cell Line using donors/samples:HepG2	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001862,OBI:0001271	cell line	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	EFO:0001187	Hep-G2,HepG2 cell
ENCSR465PPP	CD8-positive, alpha-beta T cell	ChIP-seq,microRNA-seq,RNA-seq,MRE-seq,MeDIP-seq	REMC Epigenome (Class 4) for Primary T CD8+ Naive Cells from Peripheral Blood using donors/samples:Donor_100_7_pooled_leukopaks_Jan_7_2011;Donor_101_8_pooled_leukopaks_Jan_20_2011;TC001;TC010	Roadmap	released	Homo sapiens	IHEC:IHECRE00001034.1	OBI:0000716,OBI:0001271,OBI:0001861,OBI:0001922,OBI:0000693	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,RNA-seq assay,MRE-seq,microRNA profiling by high throughput sequencing assay,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	CL:0000625	CD8-positive, alpha-beta T lymphocyte,CD8-positive, alpha-beta T-cell,CD8-positive, alpha-beta T-lymphocyte
ENCSR289LSP	endothelial cell of umbilical vein	RNA-seq,ChIP-seq,DNase-seq	REMC Epigenome (ENCODE) for Umbilical Vein Endothelial Primary Cells using donors/samples:HUVEC	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001271	primary cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	CL:0002618	
ENCSR377PMZ	endodermal cell	RNA-seq,RRBS,whole-genome shotgun bisulfite sequencing,ChIP-seq	REMC Epigenome (Class 2) for hESC Derived CD184+ Endoderm Cultured Cells using donors/samples:262;263	Roadmap	released	Homo sapiens	IHEC:IHECRE00001039.1	OBI:0000716,OBI:0001862,OBI:0001271,OBI:0001863	in vitro differentiated cells	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,RRBS assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay,shotgun bisulfite-seq assay	CL:0000223	endoderm cell
ENCSR000FYQ	liver	whole-genome shotgun bisulfite sequencing,RNA-seq,ChIP-seq	REMC Epigenome (Class 2) for Liver using donors/samples:3; 4; 5	Roadmap	released	Homo sapiens	IHEC:IHECRE00001031.1	OBI:0000716,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002107	jecur,iecur,Entire liver
ENCSR680KPO	ectodermal cell	RNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing	REMC Epigenome (Class 2) for hESC Derived CD56+ Ectoderm Cultured Cells using donors/samples:BioSam_1247;BioSam_1248;BioSam_707	Roadmap	released	Homo sapiens	IHEC:IHECRE00000970.1	OBI:0000716,OBI:0001271,OBI:0001863	in vitro differentiated cells	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	CL:0000221	ectoderm cell
ENCSR283NCE	limb	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,DNase-seq,microRNA-seq	Reference epigenome for mouse limb (embryonic 11.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001792.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002101	flipper,tetrapod limb,extremities,pentadactyl limb,extremity,free limb,Entire limb,limb sensu Vertebrata,limb sensu vertebrata
ENCSR153XET	mesodermal cell	RNA-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq	REMC Epigenome (Class 2) for hESC Derived CD56+ Mesoderm Cultured Cells using donors/samples:BioSam_1249;BioSam_1250;BioSam_575;BioSam_577	Roadmap	released	Homo sapiens	IHEC:IHECRE00000981.1	OBI:0000716,OBI:0001271,OBI:0001863	in vitro differentiated cells	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	CL:0000222	mesoderm cell,mesoblast
ENCSR114GMF	layer of hippocampus	RNA-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq	REMC Epigenome (Class 2) for Brain Hippocampus Middle using donors/samples:149;150	Roadmap	released	Homo sapiens	IHEC:IHECRE00000940.1	OBI:0000716,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002305	cytoarchitectural fields of hippocampal formation,hippocampus layer
ENCSR431JKJ	effector memory CD4-positive, alpha-beta T cell	ChIP-seq	REMC Epigenome (Class 5) for Primary T Cells Effector/Memory Enriched from Peripheral Blood using donors/samples:62;332	Roadmap	released	Homo sapiens	IHEC:IHECRE00000954.1	OBI:0000716	primary cell	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0000905	effector memory CD4-positive, alpha-beta T-lymphocyte,effector CD4-positive, alpha-beta memory T lymphocyte,effector CD4-positive, alpha-beta memory T-lymphocyte,effector memory CD4-positive, alpha-beta T lymphocyte,effector CD4-positive, alpha-beta memory T cell,effector memory CD4-positive, alpha-beta T-cell,effector CD4-positive, alpha-beta memory T-cell
